dataid,target
419809,0
419810,0
419811,0
419812,0
419813,0
419814,0
419815,0
419816,0
419817,0
419818,0
419819,0
419820,0
419821,0
419822,0
419823,0
419824,0
419825,0
419826,0
419827,0
419828,0
419829,0
419830,0
419831,0
419832,0
419833,0
419834,0
419835,0
419836,0
419837,0
419838,0
419839,0
419840,0
419841,0
419842,0
419843,0
419844,0
419845,0
419846,0
419847,0
419848,0
419849,0
419850,0
419851,0
419852,0
419853,0
419854,0
419855,0
419856,0
419857,0
419858,0
419859,0
419860,0
419861,0
419862,0
419863,0
419864,0
419865,0
419866,0
419867,0
419868,0
419869,0
419870,0
419871,0
419872,0
419873,0
419874,0
419875,0
419876,0
419877,0
419878,0
419879,0
419880,0
419881,0
419882,0
419883,0
419884,0
419885,0
419886,0
419887,0
419888,0
419889,0
419890,0
419891,0
419892,0
419893,0
419894,0
419895,0
419896,0
419897,0
419898,0
419899,0
419900,0
419901,0
419902,0
419903,0
419904,0
419905,0
419906,0
419907,0
419908,0
419909,0
419910,0
419911,0
419912,0
419913,0
419914,0
419915,0
419916,0
419917,0
419918,0
419919,0
419920,0
419921,0
419922,0
419923,0
419924,0
419925,0
419926,0
419927,0
419928,0
419929,0
419930,0
419931,0
419932,0
419933,0
419934,0
419935,0
419936,0
419937,0
419938,0
419939,0
419940,0
419941,0
419942,0
419943,0
419944,0
419945,0
419946,0
419947,0
419948,0
419949,0
419950,0
419951,0
419952,0
419953,0
419954,0
419955,0
419956,0
419957,0
419958,0
419959,0
419960,0
419961,0
419962,0
419963,0
419964,0
419965,0
419966,0
419967,0
419968,0
419969,0
419970,0
419971,0
419972,0
419973,0
419974,0
419975,0
419976,0
419977,0
419978,0
419979,0
419980,0
419981,0
419982,0
419983,0
419984,0
419985,0
419986,0
419987,0
419988,0
419989,0
419990,0
419991,0
419992,0
419993,0
419994,0
419995,0
419996,0
419997,0
419998,0
419999,0
420000,0
420001,0
420002,0
420003,0
420004,0
420005,0
420006,0
420007,0
420008,0
420009,0
420010,0
420011,0
420012,0
420013,0
420014,0
420015,0
420016,0
420017,0
420018,0
420019,0
420020,0
420021,0
420022,0
420023,0
420024,0
420025,0
420026,0
420027,0
420028,0
420029,0
420030,0
420031,0
420032,0
420033,0
420034,0
420035,0
420036,0
420037,0
420038,0
420039,0
420040,0
420041,0
420042,0
420043,0
420044,0
420045,0
420046,0
420047,0
420048,0
420049,0
420050,0
420051,0
420052,0
420053,0
420054,0
420055,0
420056,0
420057,0
420058,0
420059,0
420060,0
420061,0
420062,0
420063,0
420064,0
420065,0
420066,0
420067,0
420068,0
420069,0
420070,0
420071,0
420072,0
420073,0
420074,0
420075,0
420076,0
420077,0
420078,0
420079,0
420080,0
420081,0
420082,0
420083,0
420084,0
420085,0
420086,0
420087,0
420088,0
420089,0
420090,0
420091,0
420092,0
420093,0
420094,0
420095,0
420096,0
420097,0
420098,0
420099,0
420100,0
420101,0
420102,0
420103,0
420104,0
420105,0
420106,0
420107,0
420108,0
420109,0
420110,0
420111,0
420112,0
420113,0
420114,0
420115,0
420116,0
420117,0
420118,0
420119,0
420120,0
420121,0
420122,0
420123,0
420124,0
420125,0
420126,0
420127,0
420128,0
420129,0
420130,0
420131,0
420132,0
420133,0
420134,0
420135,0
420136,0
420137,0
420138,0
420139,0
420140,0
420141,0
420142,0
420143,0
420144,0
420145,0
420146,0
420147,0
420148,0
420149,0
420150,0
420151,0
420152,0
420153,0
420154,0
420155,0
420156,0
420157,0
420158,0
420159,0
420160,0
420161,0
420162,0
420163,0
420164,0
420165,0
420166,0
420167,0
420168,0
420169,0
420170,0
420171,0
420172,0
420173,0
420174,0
420175,0
420176,0
420177,0
420178,0
420179,0
420180,0
420181,0
420182,0
420183,0
420184,1
420185,1
420186,1
420187,1
420188,1
420189,1
420190,1
420191,1
420192,1
420193,1
420194,1
420195,1
420196,1
420197,1
420198,1
420199,1
420200,1
420201,1
420202,1
420203,1
420204,1
420205,1
420206,1
420207,1
420208,1
420209,1
420210,1
420211,1
420212,1
420213,1
420214,1
420215,1
420216,1
420217,1
420218,1
420219,1
420220,1
420221,1
420222,1
420223,1
420224,1
420225,1
420226,1
420227,1
420228,1
420229,1
420230,1
420231,1
420232,1
420233,1
420234,1
420235,1
420236,1
420237,1
420238,1
420239,1
420240,1
420241,1
420242,1
420243,1
420244,1
420245,1
420246,1
420247,0
420248,0
420249,0
420250,0
420251,0
420252,0
420253,0
420254,0
420255,0
420256,0
420257,0
420258,0
420259,0
420260,0
420261,0
420262,0
420263,0
420264,0
420265,0
420266,0
420267,0
420268,0
420269,0
420270,0
420271,0
420272,0
420273,0
420274,0
420275,0
420276,0
420277,0
420278,0
420279,0
420280,0
420281,0
420282,0
420283,0
420284,0
420285,0
420286,0
420287,0
420288,0
420289,0
