N,acc_t,acc_v
1,0.9457848544840509,0.9438303954263936
2,0.9457848544840509,0.9438303954263936
3,0.9457848544840509,0.9438303954263936
4,0.9457848544840509,0.9438303954263936
5,0.948095429666409,0.9463077656026679
6,0.9691367500555809,0.9678656503096713
7,0.9818991710513779,0.9808480228680324
8,0.9845591115534053,0.9838494521200571
9,0.9882671480144405,0.9873511195807527
10,0.9896646092931175,0.9885421629347309
11,0.9910276633812211,0.9898761314911863
12,0.9921816276189166,0.9906383992377322
13,0.992880358258255,0.9912577417818008
14,0.9938225859385752,0.992067651262506
15,0.9946721788750437,0.9927108146736541
16,0.995714981420117,0.9935207241543592
17,0.9963528377992102,0.9942115292996665
18,0.9966889695840435,0.994402096236303
19,0.997178610372974,0.9947594092424964
20,0.9975517960553479,0.9949737970462125
21,0.9981658320717364,0.9954263935207242
22,0.9987375207766497,0.9957837065269176
23,0.9989386705061563,0.995759885659838
24,0.9993409699651693,0.996307765602668
25,0.9995209460389384,0.9964506908051453
26,0.999682395163937,0.9964030490709862
27,0.999833257461067,0.9966412577417818
28,0.9998967784282795,0.9970462124821343
29,0.9999391257397546,0.9968794664125774
30,0.9999602993954921,0.9970223916150548
31,0.9999735329303281,0.997070033349214
32,0.9999761796372952,0.9972129585516912
33,0.9999973532930329,0.9970462124821343
34,0.9999973532930329,0.9972844211529299
35,0.9999973532930329,0.9973320628870891
36,0.9999973532930329,0.9972844211529299
37,0.9999973532930329,0.9973558837541686
38,0.9999973532930329,0.9973558837541686
39,0.9999973532930329,0.9973320628870891
40,0.9999973532930329,0.997498808956646
41,0.9999973532930329,0.997451167222487
42,0.9999973532930329,0.9974035254883278
43,0.9999973532930329,0.9974273463554073
44,0.9999973532930329,0.9974749880895665
45,0.9999973532930329,0.997451167222487
46,0.9999973532930329,0.9973797046212483
47,0.9999973532930329,0.9974749880895665
48,0.9999973532930329,0.9974035254883278
49,0.9999973532930329,0.9974035254883278
50,0.9999973532930329,0.9975464506908052
